,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name
max value received ,-0.0151370646224271,-0.00785352754115231,-0.012325373867526426,-0.004398114405813745,0.10167385056003835,0.2246375619914824,-0.0008427933820498718,0.17564273835793812,0.14791167349467851,0.026024276573373313,1.0,0.6229478021504289,0.0021750871749409,0.13576843604494626,0.04327619020402188,-0.00047640782744393464,-0.0006046533377999563,-0.0006481488684524127,0.21322900746214193,0.11264812171576896,0.2960934139252412,-0.0006046539161593036,0.2783157209431787,0.03226087593840176,0.006229797330468094,-0.00026562826029692823,0.06870426632393704,0.001475018343287694,0.03918526271183691,0.04868989479258774,0.18137472924365508,,,,,-0.0010760330104140343,0.003993017459988422,0.0024402273025735284,-0.00044827205549451365,-0.0002927125193239382,-0.00031538144798523647,,,,0.009787636182705409,0.17903865716002057
avg val received,-0.007621322665671763,-0.005272806512695728,-0.009901652695152216,-0.016089835202215862,0.1403987603622012,-0.002277523504316337,-0.0005727005954709028,-0.0015760604445683663,0.20725358238059208,0.12142613877139152,0.6229478021504289,1.0,0.01294196887982479,0.13388641327007006,0.06908514624065094,-0.0004978853091919512,-0.0005611553333282373,-0.0006209479453387535,0.07705149179477094,0.1553806775826409,0.06252434469475956,-0.0005611560219781922,-0.13572763504542276,0.01226350077172194,0.004473987939592308,-0.0003903200500432891,-0.000329537757983857,-0.00013465863955182758,0.037338343676717636,-0.001739276993248142,0.20258302459527722,,,,,-0.0006480600008909399,0.0013565881591911526,-0.00011950280179366215,-0.0003855390376029087,-0.00038042942114561236,-0.0003765815983103664,,,,0.008207506672747835,0.20016799124710435
min val sent,0.011747412808066007,-0.0009662350126454389,-0.008909534285137025,-0.014207408206774698,-0.005097396899442456,0.09334740066897634,-0.0009521007756655578,0.2962044163813614,-0.0033216213538066405,0.11904114075940862,0.0021750871749409,0.01294196887982479,1.0,0.022589845725912966,0.5974491729694765,-0.0004903853651113736,-0.0005430627999521219,-0.000603907798674541,0.06200418565321156,0.00012061649607299006,0.0011198024955378588,-0.000543063489701733,0.0015039713590981334,-0.0025741681698581423,-0.00042541822181596143,-0.0004070155363873644,-0.0006280784067993891,-0.0018574602589011655,-0.00209204010363236,-0.0018166941168112976,-0.004108088364601588,,,,,-0.000490493076255632,-0.0004113619000997056,-0.0006942299326595978,-0.00038666057154791836,-0.00038270012075563247,-0.00037000653657226154,,,,-0.007116868520530483,-0.004092348616780184
max val sent,-0.017635588490656467,-0.006616121588834208,-0.01301807434199794,0.01196682841550077,0.22498084455616063,0.09726718722708337,0.14183486584317034,0.05773352350524479,0.1962791149982357,0.0135730969471437,0.13576843604494626,0.13388641327007006,0.022589845725912966,1.0,0.18453983535789542,-0.0004355709415339384,-0.0006572350284129785,-0.0006758471888859536,0.20866116165372153,0.4700937382772091,0.0864284973429009,-0.0006572354329229283,-0.5649699699970345,0.13083413070116817,0.03287996172342521,0.0006150976852835173,-0.0008956031218011509,0.04664950724473525,0.19891840174757555,-0.002590499696789729,0.1657553173706272,,,,,-0.0011241537285730967,0.03162033481946699,0.026005010440057274,-0.0005141619834210162,-0.00019419892017132756,-0.00041302388793741467,,,,0.02204550379438117,0.16506218047978785
avg val sent,-0.042854118216493334,-0.00043566677634771786,-0.042912501914180834,-0.0563735689054694,0.025313112469416067,0.1234141470482238,-0.001468379610458573,0.22658822168494583,0.020815368773087015,0.2570023760231467,0.04327619020402188,0.06908514624065094,0.5974491729694765,0.18453983535789542,1.0,-0.0026630780933251594,-0.0030063104097831496,-0.0033251522567594874,0.0999194855043666,0.19927125509373622,0.16553517279179314,-0.003006314087488079,-0.04584884242057345,0.02039311436498124,0.01935035269197951,-0.0015982777567061421,-0.003523327957234753,-0.0067260823474616085,0.010298062981122633,-0.010191098917287898,0.04524495011472033,,,,,-0.002931044003811371,0.018989802393593554,0.014155380422210975,-0.001974363705582311,-0.0016820443831654778,-0.0016673586619555853,,,,-0.024549169936019532,0.04579994810720338
min value sent to contract,-0.0059328702068724955,-0.0004083165429397923,-0.004175102528950776,0.0010480731418746347,0.029371494073140093,0.020479081759746477,-0.0002922351118140169,0.05386469833850518,0.02307498834179331,-0.0019879391758424606,-0.00047640782744393464,-0.0004978853091919512,-0.0004903853651113736,-0.0004355709415339384,-0.0026630780933251594,1.0,0.4368389886184536,0.6967825345301716,0.030684262375820122,-0.00026158111052780353,-0.0002912399267819561,0.43684119330831084,-5.089917596740458e-05,-0.00010282789991571126,0.001242077220055735,-0.0001573729841145735,-0.0002558670935381959,-0.0005781014956735721,0.0028910942787721884,-0.0007400863307579315,0.01865749317231285,,,,,-0.00040600514307220716,0.0005263988072920383,0.0005734856978135046,-0.00015706741167888043,-0.0001475841762920448,-0.0001466526463969314,,,,0.0012908370647206158,0.019074113836563326
max val sent to contract,-0.006570182015046396,0.0008426577567171689,-0.0034963976486636038,0.03602243818532386,0.01306858170254805,0.008033245477855638,-0.00025951058789914816,0.023152231806714538,0.0108009252499809,-0.002201509604118512,-0.0006046533377999563,-0.0005611553333282373,-0.0005430627999521219,-0.0006572350284129785,-0.0030063104097831496,0.4368389886184536,1.0,0.9496058195161451,0.012888413335800224,-0.00039492371827345426,-0.00044355456699966524,0.9999999999969958,-8.263471710035324e-05,-0.00030445461896567007,0.0004261943893998773,-0.00018011040879692156,-0.0002833524613869864,5.008940090876965e-05,0.0013098300365433683,-0.0008195867649851509,0.012053107203029947,,,,,-0.0004499926186209495,0.00011737782911983558,5.824040584872847e-05,-0.0001742454957433052,-0.00016919181484897192,-0.0001653173486893372,,,,0.00565067872728592,0.012410725656755123
avg value sent to contract,-0.007306308143270926,0.0005296466201227811,-0.004242810383135832,0.02908907405100857,0.020655296931459986,0.013541597789145203,-0.00030876068420831066,0.03723059334159477,0.016653062704849852,-0.0024481598468651584,-0.0006481488684524127,-0.0006209479453387535,-0.000603907798674541,-0.0006758471888859536,-0.0033251522567594874,0.6967825345301716,0.9496058195161451,1.0,0.020969069836886876,-0.00040605607421993317,-0.0004551684247291795,0.9496065877428618,-8.362788805444868e-05,-0.0002785991617812899,0.0007726470046833815,-0.00019845490049488375,-0.0003150993977497871,-0.0001615000576421634,0.0020518514119516784,-0.0009114136322882081,0.01611225186305526,,,,,-0.0005002922481545498,0.0002770205494562075,0.0002462725926178963,-0.00019367181006711242,-0.00018633760947798023,-0.00018292356183087903,,,,0.004955580147825239,0.016542585035332444
total transactions (including tnx to create contract,-0.07997955487917377,-0.04718148698765315,-0.06469799742821937,0.18233678121339972,0.7310407524734407,0.8057455818503936,0.281574174658125,0.5233789970671466,0.4976926369295488,-0.004863547278901868,0.21322900746214193,0.07705149179477094,0.06200418565321156,0.20866116165372153,0.0999194855043666,0.030684262375820122,0.012888413335800224,0.020969069836886876,1.0,0.23137794806765907,0.250801231482138,0.01288848159884489,0.034789363575017024,0.3207499954863143,0.015446509595767138,-0.00036915890743606457,0.0713171245070183,0.24655499983925844,0.28337723731279446,0.23021669423505672,0.26651927495035305,,,,,-0.005357377814803293,0.013204238483923504,0.01848168496399906,-0.002203865463824716,-0.0010733500315398472,-0.0014392835836261949,,,,0.07502353256231425,0.267905618652222
total Ether sent,-0.012291550412334649,-0.006945934791401497,-0.010007053045214577,0.011730842301631988,0.24430652545544557,0.13196905206724618,0.024813695444409912,0.02867422700063177,0.1643629875004181,-0.002117719178095021,0.11264812171576896,0.1553806775826409,0.00012061649607299006,0.4700937382772091,0.19927125509373622,-0.00026158111052780353,-0.00039492371827345426,-0.00040605607421993317,0.23137794806765907,1.0,0.7749464661752141,-0.0003949239609358273,-0.31384348557180264,0.07197898247548967,0.003718696781944858,0.00016939630527543957,-0.0005363998649011904,0.006331953895843197,0.038650337532137,-0.0015515172441450092,0.08777803190794384,,,,,-0.0008375593946040596,0.002914946955875425,0.0019017975295116212,-0.0003034183553957864,-0.00020389203694960815,-0.00026419909379739765,,,,0.007718791302066644,0.08790748547331087
